,osm_id,building_name,date,lat,lng
156,692605003,Lucky Building,19/10/2022,114.1706069,22.3033766
157,784781716,Chung Nam Mansion,19/10/2022,114.1934512,22.2886999
158,151396617,Harbour Grand Kowloon,19/10/2022,114.1923102,22.3024027
159,699068843,Axis,19/10/2022,114.1872143,22.3130647
160,699848152,Kiu Shing Building,19/10/2022,114.188908,22.3199777
161,699045879,Kiu Yu Mansion,19/10/2022,114.1896563,22.3156802
162,674611347,Siu Fung Court,19/10/2022,114.1887175,22.3229032
163,209817134,Cambridge Court,19/10/2022,114.1491529,22.2430992
164,692427043,Triumph Terrace,19/10/2022,114.1743873,22.3196013
165,692427033,Peace Mansion,19/10/2022,114.1738256,22.3193023
166,428687495,Honour Building,19/10/2022,114.1895456,22.3166405
167,406591131,Po Sun Mansion,19/10/2022,114.1853502,22.3073299
168,205695072,Lux Theatre Building,19/10/2022,114.1859672,22.3065941
169,934531904,Sheung Shing Court,19/10/2022,114.1839377,22.3201629
170,692421682,Nin Fung Building,19/10/2022,114.1745411,22.3176746
171,691469180,Sun Hong House,19/10/2022,114.1881447,22.3296005
172,439370540,Tung Po Building,19/10/2022,114.1895341,22.3226346
173,691447786,Zebrano,19/10/2022,114.1884147,22.3294025
174,189017586,Wing Wo Building,19/10/2022,114.1678156,22.4469291
175,485604611,Fortune Court,19/10/2022,114.1222822,22.3699414
176,691429769,Fook Chi Building,19/10/2022,114.1896503,22.3302111
177,509013063,Man Kee Mansion,19/10/2022,114.1765835,22.3198289
178,100444470,Marigold Mansion,19/10/2022,114.2185587,22.2877888
179,683966641,Wei King Building,19/10/2022,114.1839097,22.3094493
180,406591127,Wuhu Residence,19/10/2022,114.1856444,22.3073444
181,109748439,Kam Wah House,19/10/2022,114.2066063,22.3348835
182,698983654,Lung Teck Mansion,19/10/2022,114.189263,22.3146417
183,197733647,Kwun Hei Court,18/10/2022,114.183195,22.3142005
184,691049940,Oxford Heights,18/10/2022,114.1876348,22.3280332
185,691010393,Rockford Mansion,18/10/2022,114.1824397,22.3431966
186,446478586,Sung Shun Building,18/10/2022,114.1888165,22.3119067
187,691449751,Comfort Court,18/10/2022,114.1878312,22.3303826
188,699203003,Yee Fu Building,18/10/2022,114.1833798,22.3097796
189,509602167,La Lumiere,18/10/2022,114.1865602,22.3095507
190,692421673,Sunland Court,18/10/2022,114.1746097,22.3188288
191,439362262,Cheong Shing Court,18/10/2022,114.1870499,22.3127183
192,439371920,Tung Hoi Building,18/10/2022,114.1892804,22.3228028
193,567239501,Wing Fung Building,18/10/2022,114.0308609,22.4425176
194,692964656,Wing Lee Building,18/10/2022,114.1733168,22.3010069
195,406591150,Wing Tak Mansion,18/10/2022,114.1832243,22.307182
196,694534404,Kings Hotel,18/10/2022,114.1705459,22.310343
197,691449738,Fuk Luen Building,18/10/2022,114.1877122,22.3297086
198,1028643853,Fook Wan Mansion,18/10/2022,114.1646496,22.3296335
199,174743082,Kam Shing House,18/10/2022,114.2208591,22.4082651
200,457633792,Shun King Building,18/10/2022,114.2252551,22.3163849
201,184430871,Kerry Hotel Hong Kong,18/10/2022,114.188655,22.3018732
202,463042753,Crystal Court,18/10/2022,114.012695,22.2947258
203,406591128,Berkeley Building,17/10/2022,114.1857757,22.3070672
204,509613015,Star Ruby,17/10/2022,114.1869913,22.3116381
205,700059206,Shung Fu Building,17/10/2022,114.1856331,22.3118198
206,700059216,Hing Cheung Building,17/10/2022,114.1859988,22.312356
207,439362258,Chat Ma Mansion,17/10/2022,114.1871313,22.3132847
208,589474811,Kam Tong Building,17/10/2022,114.0298924,22.4416243
209,125578427,Kam Wah Building,17/10/2022,114.2716418,22.3821996
210,691469181,Loong Pont House,17/10/2022,114.1881514,22.3296987
211,699848153,Chung Hwa Building,16/10/2022,114.1884684,22.3201591
212,746979911,Hip Fai Building,16/10/2022,114.1864382,22.3074258
213,700020447,To Kwa Wan Mansion,16/10/2022,114.190359,22.31686
214,691131129,Shing Fai Building,16/10/2022,114.1910674,22.3298021
215,356689233,Forum Court,16/10/2022,114.1389856,22.4930741
216,446478588,Sung Kim Building,16/10/2022,114.1889401,22.3116396
217,699023689,Sung Lim Building,16/10/2022,114.1890796,22.3113768
218,446478298,Sung Yee Building,16/10/2022,114.1884445,22.3118815
219,100432556,Kin On Mansion,16/10/2022,114.2141108,22.2867702
220,588141654,Sun Yue Building,16/10/2022,114.0276227,22.4458131
221,734097991,Wing Lam Building,16/10/2022,114.1862284,22.3127797
222,494724179,Tam Kung Mansion,16/10/2022,114.1883137,22.3224889
223,934531906,Tip Top Mansion,16/10/2022,114.1844717,22.3199587
224,699045880,Kiu Fat Mansion,15/10/2022,114.1899425,22.3154564
225,559068473,Victory Building,15/10/2022,114.0306013,22.4462356
226,509606188,Carlton Court,15/10/2022,114.1874963,22.3097193
227,692421679,Peace Garden,15/10/2022,114.1745079,22.317957
228,734097984,Comfort House,15/10/2022,114.186641,22.3133322
229,446478587,Sung King Building,15/10/2022,114.1886947,22.311729
230,691429769,Fook Chi Building,15/10/2022,114.1896503,22.3302111
231,225777479,Lucky House,15/10/2022,114.1925873,22.3190044
232,746979897,Rammon Mansion,15/10/2022,114.1870197,22.3070678
233,691240572,Kam Fai Mansion,15/10/2022,114.1905661,22.3289645
234,691429758,Yau Lung Building,14/10/2022,114.1897942,22.3294244
235,406591132,Metro6,14/10/2022,114.1848584,22.3074723
236,699558954,On Lung Building,14/10/2022,114.1916132,22.3172194
237,746979919,Fu Yip Building,14/10/2022,114.1859135,22.3077543
238,457923829,Fortuna Building,14/10/2022,114.1998599,22.2897963
239,446478299,Sung Lai Building,14/10/2022,114.1884352,22.3115884
240,691429747,Billionnaire Avant,14/10/2022,114.1894049,22.3298041
241,378519978,Sunrise Villa,14/10/2022,114.0075801,22.3662252
242,691216455,High Place,14/10/2022,114.1924738,22.3302568
243,406591134,Gillies Mansion,14/10/2022,114.1841645,22.3072086
244,552256707,City Hub,14/10/2022,114.1879095,22.3157805
245,699817965,Merry Mansion,14/10/2022,114.1898874,22.3180588
246,692421676,Valiant Court,14/10/2022,114.1740427,22.3183128
247,692384169,Yen Yee Mansion,13/10/2022,114.1746617,22.3197992
248,692384177,Classic Mansion,13/10/2022,114.1749502,22.319361
249,691240609,South Wall Mansion,13/10/2022,114.1908019,22.3303385
250,699241645,Hill Main Mansion,13/10/2022,114.1887877,22.3170586
251,446478589,Sung Oi Building,13/10/2022,114.1886892,22.3115358
252,692421683,Tung Nam Mansion,13/10/2022,114.1747544,22.3178434
253,692421677,Champion House,13/10/2022,114.1740452,22.3181984
254,1044155404,Wing Kin Building,13/10/2022,114.1885359,22.3182363
255,406591144,Hing Lee Building,13/10/2022,114.1835208,22.3073101
256,691212448,Nga Tsin Wai Building,13/10/2022,114.1915835,22.3290877
257,744515601,Wai Yin Building,19/10/2022,114.1351498,22.3665383
258,817830627,Edition 178,19/10/2022,114.1283853,22.3600166
259,205980891,Ching Shing Court,19/10/2022,114.1024391,22.3494722
260,261873855,Rambler Oasis Hotel,19/10/2022,114.1099453,22.3420471
261,744514855,Kwai Wah Building,18/10/2022,114.1366053,22.3649873
