,osm_id,building_name,date
470,612227637,Silvervale Mansion,19/10/2022
471,493718965,Siu Fung Building,19/10/2022
472,729788942,Royal Villa,19/10/2022
473,743072601,Luckifast Building,19/10/2022
474,295779356,Lee Cheong Building,19/10/2022
475,737529118,Evone Court,19/10/2022
476,729970831,Aroma House,19/10/2022
477,493760490,On Hing Mansion,19/10/2022
478,487952676,Tung Shing Building,19/10/2022
479,200014105,Hoi Tao Building,19/10/2022
480,540388746,Royal Court,19/10/2022
481,737017568,Tsui Man Court,19/10/2022
482,258421156,Morrison Building,19/10/2022
483,540389804,Amber Lodge,19/10/2022
484,735371839,Gold Ning Mansion,19/10/2022
485,266353603,Kiu Hing Mansion,18/10/2022
486,356689229,Brilliant Court,18/10/2022
487,728984501,Pioneer Court,18/10/2022
488,742070251,Wing On Mansion,18/10/2022
489,738386716,Happy Mansion,18/10/2022
490,231052160,Wing Hing Building,18/10/2022
491,494442418,Wun Sha Tower,18/10/2022
492,171224594,Hyde Park Mansion,18/10/2022
493,345412521,Lei Wen Court,18/10/2022
494,356689232,Elegant Court,18/10/2022
495,188579032,Lily Court,18/10/2022
496,672504416,Star Studios II,17/10/2022
497,777261137,Kanfield Mansion,17/10/2022
498,679451191,Fully Building,17/10/2022
499,463052917,Haven Court,17/10/2022
500,736573913,Happy Court,17/10/2022
501,738386715,Splendour Court,17/10/2022
502,171882796,Chesterfield Mansion,17/10/2022
503,493754498,Shu Tak Building,17/10/2022
504,540388752,Monticello,17/10/2022
505,736809516,Formwell Garden,17/10/2022
506,729772394,Champion Court,17/10/2022
507,694535655,Arts Mansion,17/10/2022
508,166596279,Le Cachet,16/10/2022
509,737175264,Po Wah Court,16/10/2022
510,494213633,Horace Court,16/10/2022
511,694520727,Yue King Building,16/10/2022
512,510829920,Man Hee Mansion,16/10/2022
513,738082954,Unique Tower,16/10/2022
514,734877093,Silverstone Mansion,16/10/2022
515,225777479,Lucky House,16/10/2022
516,227077703,Broadville,16/10/2022
517,737017571,Yuk Sing Building,16/10/2022
518,680503072,Winner Building,16/10/2022
519,736573913,Happy Court,16/10/2022
520,171224598,Prospect Mansion,16/10/2022
521,429432513,Jolly Villa,16/10/2022
522,1020747908,Hawthorn Garden,16/10/2022
523,742073270,Grand View Mansion,16/10/2022
524,694051632,King's Court,16/10/2022
525,200014106,Kam Tao Building,16/10/2022
526,200014107,Ngan Tao Building,16/10/2022
527,82091085,Lockhart House,16/10/2022
528,515278914,Hung Yip Building,16/10/2022
529,510829919,Rialto Building,16/10/2022
530,734097986,Lee Wing Building,15/10/2022
531,669368201,Tak Wah Mansion,15/10/2022
532,673902563,Hang Tak Building,15/10/2022
533,540388745,Starlight Garden,15/10/2022
534,198994687,Hoi Deen Court,15/10/2022
535,692832322,Lei Ha Court,15/10/2022
536,171224586,Causeway Bay Mansion,15/10/2022
537,266353309,Shing Loong Court,14/10/2022
538,171882797,Clarke Mansion,14/10/2022
539,759892848,Oi Kwan Court,14/10/2022
540,683468943,Cheong Ip Building,14/10/2022
541,493758767,Ming Yan Mansion,14/10/2022
542,659362713,Tung Hing Building,14/10/2022
543,738082948,Fortuna Court,14/10/2022
544,171882803,Marco Polo Mansion,14/10/2022
545,181966915,Mei Wah Building,14/10/2022
546,738386718,Blue Pool Mansion,14/10/2022
547,437142690,Cheong Chun Building,14/10/2022
548,781684617,Beverly Court,13/10/2022
549,743184340,Kelly House,13/10/2022
550,121265512,Kin On House,13/10/2022
551,760033372,Sun Tao Building,13/10/2022
552,171224599,Riviera Mansion,13/10/2022
553,171224590,Haywood Mansion,13/10/2022
554,738384855,Palm Court,13/10/2022
555,746979918,Golden Court,13/10/2022
556,737017569,Le Village,13/10/2022
557,735371834,Gold King Mansion,13/10/2022
558,228411069,On Lee Building,19/10/2022
559,302152813,Po Fat Building,19/10/2022
560,110114477,Choi Fung Court,19/10/2022
561,493121460,San Po Kong Mansion,19/10/2022
562,533335772,King Tai Court,19/10/2022
563,109743689,King Hin Court,19/10/2022
564,429420018,Yan Oi Building,18/10/2022
565,669954510,Ying Fuk Court,18/10/2022
566,507890700,Kam On Building,17/10/2022
567,109681439,Kwong Fat Building,16/10/2022
568,1069920313,Chee Lok Building,16/10/2022
569,1069920304,Winfair Building,16/10/2022
570,1069923446,Manning Theatre Building,16/10/2022
571,108926999,Pang Ching Court,16/10/2022
572,823295806,Che Cheung Building,15/10/2022
573,1069920318,Che Wah Building,15/10/2022
574,459017739,Kam Kwok Building,15/10/2022
575,746151944,Hang On Building,14/10/2022
576,698180326,Yin Hing Building,14/10/2022
577,882787788,Fung Chuen Court,14/10/2022
578,450604817,Chung Wo Building,19/10/2022
579,451599248,Chung Kin Building,19/10/2022
580,451596171,Chung Sing Building,19/10/2022
581,450605390,Chung Hing Building,19/10/2022
582,102368457,Shining Heights,19/10/2022
583,694539974,Yen Chun Mansion,19/10/2022
584,692719642,Lee Loy Mansion,19/10/2022
585,695608074,Lauren Court,19/10/2022
586,692957174,South Sea Apartments,19/10/2022
587,694535660,Camy House,19/10/2022
588,746293639,Tai Chi Building,19/10/2022
589,488375709,Pacific Building,19/10/2022
590,692796099,Flordia Mansion,19/10/2022
591,235253971,Po Lun House,19/10/2022
592,694034245,Kung Sheung Mansions,19/10/2022
593,37517585,Royal Plaza Hotel,19/10/2022
594,694051613,Kwong Hing Building,19/10/2022
595,694029107,Tak Lee Building,19/10/2022
596,694205512,Tak Cheong Building,19/10/2022
597,694775347,Tak Cheong Court,19/10/2022
598,457395712,Man Cheong Building,19/10/2022
599,178740246,Man King Building,19/10/2022
600,457395708,Man Yiu Building,19/10/2022
601,457395707,Man Yuen Building,19/10/2022
602,457395710,Man Ying Building,19/10/2022
603,30658239,Metropark Hotel Mongkok,19/10/2022
604,692964647,Lok Fun Mansion,19/10/2022
605,737017571,Yuk Sing Building,19/10/2022
606,746156513,Circle Garden,19/10/2022
607,515195973,Wing Tai Building,19/10/2022
608,454484236,Winfield Building,19/10/2022
609,197982275,Wing Wah Building,19/10/2022
610,564015863,Tai Fung House,19/10/2022
611,695841944,Cheung Hing Building,19/10/2022
612,692733061,Fook Yuen Mansion,19/10/2022
613,485604641,Jade Court,19/10/2022
614,540717099,Luen Tak Building,19/10/2022
615,746293660,Nan Yuen Building,19/10/2022
616,692937814,Kency Tower,19/10/2022
617,694539982,Man Wing Building,19/10/2022
618,488375714,Kimberley Mansion,19/10/2022
619,316843233,King Wang Heights,19/10/2022
620,241998990,Kam Chung Building,19/10/2022
621,746151965,Jean House,19/10/2022
622,254652838,Holiday Inn Golden Mile,19/10/2022
623,695849358,Stanford Hotel,18/10/2022
624,694056699,Wai Ching Mansion,18/10/2022
625,780797913,Tsin Shui Mansion,18/10/2022
626,746835814,Yau Shing Building,18/10/2022
627,692972859,Ka Wing Building,18/10/2022
628,695841961,The Cityview,18/10/2022
629,501116266,Po Fung Building,18/10/2022
630,746293618,Kin Wong House,18/10/2022
631,746293562,Hing Lin Building,18/10/2022
632,190470900,Man Wah Building,18/10/2022
633,457395711,Man Fai Building,18/10/2022
634,980143742,Mascot House,18/10/2022
635,695608084,Tung On Court,18/10/2022
636,448850186,Wing Shun Building,18/10/2022
637,693480855,Hai Phong Mansion,18/10/2022
638,694051632,King's Court,18/10/2022
639,228013067,Hing Wong Mansion,18/10/2022
640,488375717,Companion Court,18/10/2022
641,746198226,Ying Loy Mansion,18/10/2022
642,746293581,Lai Chi Mansion,18/10/2022
643,694056700,Wah Wai Mansion,18/10/2022
644,589474811,Kam Tong Building,18/10/2022
